model,seed,mode,episode,reward
mountaincar_ddqn_per_shaped,0,greedy,12,261.1074
mountaincar_ddqn_per_shaped,0,greedy,13,73.9259
mountaincar_ddqn_per_shaped,0,greedy,14,-200.0
mountaincar_ddqn_per_shaped,0,greedy,15,26.6354
mountaincar_ddqn_per_shaped,0,greedy,16,-200.0
mountaincar_ddqn_per_shaped,0,greedy,17,260.459
mountaincar_ddqn_per_shaped,0,greedy,18,216.4024
mountaincar_ddqn_per_shaped,0,greedy,19,55.9027
mountaincar_ddqn_per_shaped,0,greedy,20,253.5403
mountaincar_ddqn_per_shaped,1,greedy,1,34.973
